mean,med,std,mean_gray,med_gray,std_gray,mean_hsv,med_hsv,std_hsv,histRed_mean,histRed_med,histRed_std,histGreen_mean,histGreen_med,histGreen_std,histBlue_mean,histBlue_med,histBlue_std,histGray_mean,histGray_med,histGray_std,histHue_mean,histHue_med,histHue_std,histSat_mean,histSat_med,histSat_std,histValue_mean,histValue_med,histValue_std,class
78.50631666666666,68.0,48.33477812886275,85.0299,77.0,47.16628781227117,79.3014,72.0,44.23094740156489,156.25,127.0,144.15866,156.25,151.0,127.01919,156.25,53.0,194.44836,156.25,128.0,138.879,156.25,3.0,363.98428,156.25,141.0,133.57521,156.25,146.0,126.57884,Tree
74.20934166666666,67.0,40.45500341202059,79.034775,71.0,40.010537558240514,74.675175,71.0,37.38003741374142,156.25,111.5,156.3677,156.25,120.0,155.02878,156.25,22.5,208.49785,156.25,105.5,161.77657,156.25,1.0,282.92953,156.25,79.0,179.19064,156.25,119.5,150.60303,Tree
98.10388333333333,97.0,43.11170345648293,103.02135,106.0,41.47871013155423,78.24121666666667,75.0,45.338976218257535,156.25,204.0,116.817665,156.25,147.5,139.25235,156.25,112.5,144.76654,156.25,164.0,135.36531,156.25,9.0,281.37646,156.25,120.5,146.83138,156.25,148.0,134.82993,Tree
86.03868333333334,75.0,49.07489331215833,96.62185,93.0,47.930166415082475,93.86191666666667,91.0,49.10162420592339,156.25,185.0,120.76022,156.25,191.5,112.860535,156.25,30.5,193.14645,156.25,201.5,124.77329,156.25,0.0,377.16772,156.25,97.0,153.97914,156.25,193.0,113.21678,Tree
83.0956,70.0,50.990655457380946,87.954675,77.0,49.671039053399866,79.12544166666666,72.0,42.10579994951127,156.25,116.5,141.99123,156.25,134.5,133.42747,156.25,104.5,175.27051,156.25,113.0,142.04659,156.25,1.0,264.314,156.25,76.5,164.19829,156.25,142.5,131.17989,Tree
79.466225,72.0,43.318270309220665,86.723075,80.0,43.38200534258848,78.09623333333333,72.0,39.62228925506731,156.25,136.5,135.19078,156.25,156.5,129.05199,156.25,35.0,196.40991,156.25,147.0,138.65216,156.25,0.0,326.0683,156.25,60.0,188.63376,156.25,156.5,129.31976,Tree
67.19631666666666,54.0,43.07801326005014,73.90915,65.0,42.8742982015741,77.05063333333334,70.0,40.16473892523419,156.25,99.0,204.28374,156.25,117.5,167.24586,156.25,19.0,263.3379,156.25,79.5,188.05919,156.25,1.0,356.2285,156.25,77.5,168.14563,156.25,120.0,170.07779,Tree
106.37833333333333,104.0,41.15967177414752,113.405325,113.0,36.173689148943254,91.02651666666667,99.0,48.531094639070204,156.25,116.5,129.4422,156.25,91.5,156.24382,156.25,66.0,168.90019,156.25,89.0,155.81018,156.25,9.0,414.57947,156.25,97.5,161.80032,156.25,99.0,153.02933,Tree
72.87696666666666,45.0,57.83404357411146,73.0865,46.0,56.74240317214279,82.20071666666666,82.0,40.9446670864439,78.125,33.5,154.27536,78.125,38.0,121.546555,78.125,39.0,137.26964,78.125,36.0,134.7855,78.125,0.0,203.31326,78.125,36.0,108.614426,78.125,42.0,118.52164,Tree
70.53228333333334,56.0,44.24188992858528,70.53195,56.0,43.043461515048946,77.75371666666666,76.0,35.70008909213517,78.125,31.0,111.48239,78.125,33.5,104.993065,78.125,40.0,103.61047,78.125,33.0,108.17067,78.125,8.0,184.14189,78.125,24.0,95.92587,78.125,36.5,98.11226,Tree
72.42546666666667,64.0,38.8883298019113,77.4283,70.0,38.60818772112983,73.4282,69.0,35.6719961794496,156.25,112.5,161.44682,156.25,114.5,161.08836,156.25,18.0,217.49966,156.25,92.5,167.9526,156.25,2.0,285.28134,156.25,51.5,194.61398,156.25,109.5,157.09917,Tree
62.12031666666667,51.0,36.27374220975446,68.065175,57.0,36.62124352366226,74.50621666666666,69.0,33.68606182611817,156.25,71.5,214.87056,156.25,87.5,188.07088,156.25,19.0,258.60657,156.25,70.5,204.4274,156.25,0.0,321.5891,156.25,44.5,209.04425,156.25,85.5,188.95624,Tree
100.37841666666667,92.0,51.79985168086606,112.61445,117.0,47.83954902794862,97.678125,98.0,55.2468574202887,156.25,188.0,102.85977,156.25,192.5,107.931656,156.25,75.5,173.60233,156.25,198.5,116.53805,156.25,2.0,466.98288,156.25,119.5,131.54752,156.25,192.0,109.99567,Tree
100.99275833333333,95.0,38.91924724209857,106.1278,96.0,37.9989692907584,92.43985833333333,92.0,36.017583201078295,156.25,118.5,168.35466,156.25,85.5,162.24109,156.25,28.0,236.52864,156.25,63.5,173.43942,156.25,0.0,398.23657,156.25,16.0,241.73044,156.25,38.5,189.08203,Tree
84.66935833333334,74.0,48.42066467692209,93.990875,85.0,48.04191494657946,86.85905833333334,80.0,43.77969899142673,156.25,172.0,119.42074,156.25,185.5,114.513306,156.25,39.0,187.07132,156.25,189.5,123.89676,156.25,0.0,334.61963,156.25,44.5,205.04976,156.25,185.5,114.0282,Tree
